Trade Date,Acct No,Stock Code,Country,Buy/Sell,Price,Unit,,
20170913,632407,GMLP,LP,1,21.9,500,,
20140714,20002894001,1321 JP,JP,1,15450,59,,
20170329,101013264,APC VN,VN,1,24902.19716,68270,,
20170420,101013264,ACV VN,VN,1,49500,5000,,
20180130,101013264,VSC VN,VN,1,41000,18000,,
20180807,632407,SILO.ID,ID,1,3070,20000,,
20150625,20002894001,357 HK,HK,1,9.6,7000,,
20180810,101013264,LTG VN,VN,1,0,1900,,
20140924,632407,ADHI IJ,IJ,1,2920,10500,,
20180219,632407,VED.UK,UK,1,7.54,5000,,
20141103,20002894001,JPM US,US,2,60.8,500,,
20180110,101013264,JVC VN,VN,1,0,10000,,
20140124,20002894001,1910 HK,HK,2,23.75,2100,,
20180807,632407,SILO.ID,ID,1,3070,30000,,
20160329,101013264,SVC VN,VN,1,29900,10000,,
20171117,632407,5707.JP,JP,2,6190,2000,,
20170322,632407,5707.JP,JP,1,556,10000,,
20160708,101013264,MAS VN,VN,1,152500,2000,,
20140313,20002894001,1299 HK,HK,1,36.05,2800,,
20160215,101013264,PTB VN,VN,1,79500,2500,,
20180104,632407,SILO.ID,ID,1,9075,10000,,
20171215,632407,SILO.ID,ID,1,10500,300,,
20170925,101013264,MAS VN,VN,2,83900,3000,,
20160202,20002894001,1910 HK,HK,1,21.45,3300,,
20171109,101013264,MAS VN,VN,2,89100,400,,
20180824,632407,SILO.ID,ID,1,3000,1000,,
20160809,101013264,HAX VN,VN,1,27600,6000,,
20170112,632407,9984.JP,JP,2,8430,200,,
20180601,632407,POE.CA,CA,1,1.1484,12800,,
20150225,101013264,MWG VN,VN,1,142000,2000,,
20160121,101013264,HTL VN,VN,1,154000,2000,,
20150204,20002894001,1181 HK,HK,1,1.6,2000,,
20180502,632407,JAPFA.SG,SG,1,0.525,8600,,
20160816,101013264,HAX VN,VN,1,31000,5000,,
20170724,101013264,VKC VN,VN,2,8000,10000,,
20170719,101013264,CVT VN,VN,2,46200,13000,,
20180219,632407,VED.UK,UK,1,7.59,5000,,
20160622,101013264,MAS VN,VN,1,141500,3000,,
20160929,101013264,GIL VN,VN,1,67800,3000,,
20150205,20002894001,BABA US,US,1,89,180,,
20170919,101013264,ACV VN,VN,1,58000,2000,,
20150126,101013264,MWG VN,VN,1,0,2640,,
20170926,101013264,LHC VN,VN,2,63000,2500,,
20160929,101013264,VKC VN,VN,1,19400,25000,,
20170901,101013264,SHB VN,VN,1,7900,22500,,
20150827,20002894001,1181 HK,HK,1,1.64,20000,,
20170215,101013264,CVT VN,VN,2,47200,5000,,
20150302,20002894001,1181 HK,HK,1,1.67,8000,,
20170328,101013264,GIL VN,VN,1,51300,4000,,
20160218,20002894001,1910 HK,HK,1,23,2400,,
20180125,632407,SILO.ID,ID,1,9000,11000,,
20170320,101013264,GIL VN,VN,1,53383,55000,,
20170323,101013264,VKC VN,VN,1,14000,10000,,
20180412,632407,SILO.ID,ID,1,8400,15000,,
20180410,101013264,HDB VN,VN,1,49800,5000,,
20180807,632407,SILO.ID,ID,1,3070,25000,,
20180827,632407,BRTSS.SG,SG,1,1.03,12000,,
20180417,632407,SILO.ID,ID,1,8375,10000,,
20170926,101013264,ACV VN,VN,1,63800,800,,
20141218,101013264,DQC VN,VN,1,0,5100,,
20180131,101013264,VRE VN,VN,1,57000,2000,,
20150915,20002894001,1181 HK,HK,1,1.64,50000,,
20180411,632407,6723.JP,JP,1,1005,5800,,
20150715,20002894001,7261 JP,JP,1,0,800,,
20170922,632407,LAC.CA,CA,1,1.6,9000,,
20170412,101013264,VKC VN,VN,1,13400,4700,,
20180807,632407,SILO.ID,ID,1,3060,15000,,
20141003,20002894001,2914 JP,JP,1,3450,200,,
20150302,20002894001,1910 HK,HK,2,0,2700,,
20171019,101013264,WCS VN,VN,1,170000,200,,
20151105,624892,YZJSGD SP,SP,1,1.22,2200,,
20170515,101013264,NCT VN,VN,1,81000,1900,,
20170119,101013264,WCS VN,VN,1,187000,600,,
20180703,101013264,DHP VN,VN,2,11200,3200,,
20160122,101013264,HTL VN,VN,1,152000,2020,,
20170119,101013264,HPG VN,VN,2,43000,5750,,
20180824,632407,SILO.ID,ID,1,2990,10000,,
20140402,20002894001,1321 JP,JP,2,15600,50,,
20170322,632407,5707.JP,JP,1,560,5000,,
20170215,101013264,HAX VN,VN,2,43300,5000,,
20160205,101013264,NCT VN,VN,1,120000,8000,,
20150204,20002894001,1181 HK,HK,1,1.6,20000,,
20180703,101013264,DSN VN,VN,2,54500,700,,
20180620,632407,BRTSS.SG,SG,1,1.04,15500,,
20180209,632407,SM PM,PM,1,950,640,,
20161104,632407,5707.JP,JP,2,389,2000,,
20150506,20002894001,573 HK,HK,1,3.63,20000,,
20140225,20002894001,1928 HK,HK,2,62.1,1200,,
20140723,20002894001,BA US,US,1,129,150,,
20171106,101013264,APC VN,VN,1,61400,2000,,
20140528,20002894001,UNH US,US,1,79.2,150,,
20150204,20002894001,43 HK,HK,2,0.9,36000,,
20140902,20002894001,43 HK,HK,1,0.9,124000,,
20180808,632407,SILO.ID,ID,1,3060,10000,,
20171206,632407,VED.UK,UK,2,6.4,5000,,
20180316,632407,VZ,VZ,1,48.29,200,,
20180207,632407,SILO.ID,ID,1,8900,10000,,
20170705,101013264,HAX VN,VN,1,47000,5000,,
20180710,632407,SILO.ID,ID,1,4450,5000,,
20150212,624892,BTG SP,SP,1,1.5387,7800,,
20170830,101013264,APC VN,VN,1,37500,4000,,
20170705,101013264,HAX VN,VN,1,47000,6000,,
20170221,101013264,STK VN,VN,1,19000,2170,,
20171117,632407,VED.UK,UK,1,7.718034,40000,,
20180808,632407,SILO.ID,ID,1,3060,10000,,
20180207,632407,6723.JP,JP,1,1225,4000,,
20150629,20002894001,1321 JP,JP,1,0,90,,
20171106,101013264,APC VN,VN,1,61400,2000,,
20150605,624892,CRB SP,SP,2,2.03,1330,,
20140314,20002894001,1055 HK,HK,2,0,14000,,
20180418,632407,SILO.ID,ID,1,8300,15000,,
20151203,101013264,VAT VN,VN,1,8500,6000,,
20180809,632407,SILO.ID,ID,1,3090,10000,,
2018830,632407,6728.JP,JP,1,4615,1500,,
20180105,101013264,DNP VN,VN,2,20300,5000,,
20180807,632407,SILO.ID,ID,1,3070,15000,,
20140403,20002894001,1910 HK,HK,1,24.1,1500,,
20150526,20002894001,2010 HK,HK,1,2.81,100000,,
20171117,632407,5707.JP,JP,2,6190,1000,,
20170322,632407,5707.JP,JP,1,559,10000,,
20180327,632407,SILO.ID,ID,1,8200,15300,,
20171011,632407,POE.CA,CA,2,1.3,400,,
20180209,101013264,HTI VN,VN,1,16050,12000,,
20150409,20002894001,1181 HK,HK,1,1.89,26000,,
20140520,20002894001,1910 HK,HK,1,24.2,1800,,
20180807,101013264,VNM VN,VN,2,0,1000,,
20170203,624892,BTG.SG,SG,1,1,30000,,
20170803,101013264,GIL VN,VN,2,38000,3000,,
20180709,632407,SILO.ID,ID,1,4400,10000,,
20150714,20002894001,5108 JP,JP,1,0,200,,
20150409,20002894001,1181 HK,HK,1,1.9,6000,,
20141224,101013264,TRA VN,VN,1,0,4100,,
20171206,632407,VED.UK,UK,2,6.4,5000,,
20180803,101013264,VSC VN,VN,2,39000,5000,,
20170303,632407,LAC.CA,CA,1,1.04,53200,,
20180117,101013264,HPG VN,VN,1,55200,1300,,
20180821,101013264,DXG VN,VN,2,28000,230,,
20141001,20002894001,7203 JP,JP,2,0,100,,
20150506,20002894001,573 HK,HK,1,3.6,3000,,
20140521,20002894001,DAI GY,GY,2,67,100,,
20180710,632407,SILO.ID,ID,1,4280,20000,,
20180723,632407,SILO.ID,ID,1,3530,10000,,
20150430,20002894001,573 HK,HK,1,3.7,38000,,
20140106,20002894001,880 HK,HK,1,25.05,2000,,
20140516,20002894001,992 HK,HK,2,9.03,8000,,
20170608,632407,9020.JP,JP,2,10700,200,,
20150522,101013264,VNR VN,VN,2,22500,5000,,
20141009,20002894001,8306 JP,JP,1,603,1300,,
20180522,632407,ISOL.CA,CA,1,0.65,5500,,
20170126,632407,ECI.CA,CA,1,18.45,975,,
20170321,632407,5707.JP,JP,2,582,20000,,
20180402,101013264,ACV VN,VN,1,103800,3500,,
20141031,20002894001,HP US,US,2,85.4,40,,
20170512,632407,9984.JP,JP,2,8600,100,,
20170412,101013264,MAS VN,VN,2,100300,2000,,
20141111,20002894001,BMW GY,GY,1,84,69,,
20180509,632407,SILO.ID,ID,1,6400,10000,,
20180403,632407,FGL.SG,SG,1,0.61,7400,,
20140923,624892,ORC US,US,1,13.89,188,,
20170308,101013264,MAC VN,VN,1,8872.94964,69500,,
20150127,20002894001,C US,US,1,49,300,,
20170714,101013264,PMC VN,VN,1,89800,1450,,
20180103,632407,SILO.ID,ID,1,9225,10000,,
20160728,101013264,SVC VN,VN,2,42000,4050,,
20171106,101013264,APC VN,VN,1,60000,3000,,
20140528,20002894001,NDO AU,AU,1,0.035,456300,,
20151201,20002894001,357 HK,HK,2,10.04,13000,,
20180110,101013264,JVC VN,VN,1,6170,10000,,
20150108,20002894001,493 HK,HK,2,1.22,48000,,
20180829,632407,6728.JP,JP,1,4580,1000,,
20150319,20002894001,1181 HK,HK,1,1.68,86000,,
20150430,20002894001,7205 JP,JP,1,1593,300,,
20160217,20002894001,3382 JP,JP,1,4560,400,,
20150408,20002894001,1181 HK,HK,1,1.88,50000,,
20140502,20002894001,1910 HK,HK,2,25,1800,,
20171124,101013264,NNC VN,VN,2,51000,8000,,
20150320,632407,8316 JP,JP,2,4826,100,,
20180110,101013264,JVC VN,VN,1,6150,5000,,
20161104,632407,5707.JP,JP,2,389,1000,,
20180419,101013264,VCB VN,VN,2,62600,2700,,
20180420,632407,SILO.ID,ID,1,8400,15000,,
20161207,101013264,NET VN,VN,1,35500,4500,,
20150409,20002894001,1181 HK,HK,1,1.9,20000,,
20170524,632407,LAC.CA,CA,1,0.96,12500,,
20180807,632407,SILO.ID,ID,1,3070,20000,,
20180817,101013264,TTB VN,VN,2,22250,10000,,
20170112,101013264,NCS VN,VN,2,58087.5,800,,
20180523,632407,JRPT.ID,ID,1,815,315000,,
20171102,101013264,VNM VN,VN,1,157000,1400,,
20180716,101013264,AST VN,VN,1,61800,1000,,
20160930,101013264,VKC VN,VN,1,19300,8000,,
20180626,101013264,NT2 VN,VN,2,31800,16500,,
20160530,101013264,HAT VN,VN,1,46700,400,,
20180718,632407,SILO.ID,ID,1,3570,8000,,
20150417,632407,BREAD SP,SP,1,1.40249,116600,,
20160929,101013264,VKC VN,VN,1,19300,3000,,
20160726,101013264,PTB VN,VN,1,128000,1460,,
20180810,632407,SILO.ID,ID,1,3050,15000,,
20180807,632407,SILO.ID,ID,1,3070,25000,,
20150409,20002894001,GIS US,US,1,56,120,,
20180820,632407,SILO.ID,ID,1,2840,10000,,
20170714,101013264,PMC VN,VN,1,89500,1500,,
20161006,101013264,VNM VN,VN,1,140000,400,,
20140801,20002894001,V US,US,1,211,28,,
20140704,20002894001,MC FP,FP,1,141.3,40,,
20161128,101013264,PMC VN,VN,1,71500,400,,
20150326,101013264,VNF VN,VN,1,45000,3000,,
20180817,101013264,TTB VN,VN,2,22300,10000,,
20170921,632407,RFX.AU,AU,1,0.098,200000,,
20180710,101013264,HDB VN,VN,1,35300,940,,
20170801,101013264,HAX VN,VN,1,40500,1000,,
20150506,20002894001,573 HK,HK,1,3.67,20000,,
20160930,101013264,VKC VN,VN,1,19300,5000,,
20150212,20002894001,1181 HK,HK,1,1.62,48000,,
20160203,20002894001,1910 HK,HK,1,21.35,4200,,
20180807,632407,VED.UK,UK,2,8.27,5000,,
20150429,20002894001,573 HK,HK,1,3.62,12000,,
20160725,101013264,VNR VN,VN,2,19100,3400,,
20171106,101013264,APC VN,VN,1,61200,3000,,
20170918,101013264,ACV VN,VN,1,58600,1400,,
20140324,20002894001,3918 HK,HK,2,8.5,6000,,
20140521,20002894001,2828 HK,HK,2,101,600,,
20180228,632407,SEVN PM,PM,1,115.3102,24000,,
20141103,624892,ORC US,US,2,13.9,188,,
20180612,632407,7974.JP,JP,1,41300,100,,
20170515,632407,7532.JP,JP,1,4250,100,,
2018830,632407,0539.HK,HK,1,0.15,600000,,
20140901,20002894001,2823 HK,HK,1,9.22,4200,,
20160810,101013264,HAX VN,VN,1,29000,10000,,
20150703,20002894001,1181 HK,HK,1,1.98,10000,,
20150319,20002894001,DAI GY,GY,2,0,80,,
20180817,101013264,TTB VN,VN,2,22200,10000,,
20171009,101013264,SHA VN,VN,1,10250,24000,,
20180410,101013264,ACV VN,VN,1,91000,4000,,
20180409,101013264,VND VN,VN,1,0,20000,,
20170322,632407,5707.JP,JP,1,560,10000,,
20150326,101013264,VDS VN,VN,1,9200,1000,,
20180530,101013264,VJC VN,VN,1,147500,2000,,
20170104,101013264,ACV VN,VN,1,48600,5000,,
20170310,101013264,HPG VN,VN,1,42450,9000,,
20170425,632407,LAC.CA,CA,1,0.91,50000,,
20170203,624892,BTG.SG,SG,1,1,15300,,
20160603,632407,8306 JP,JP,1,530,1100,,
20170706,632407,7974.JP,JP,1,35000,100,,
20180103,632407,SILO.ID,ID,1,9225,10000,,
20180820,632407,SILO.ID,ID,1,2820,10000,,
20160420,101013264,KHA VN,VN,1,32800,2350,,
20140401,20002894001,27 HK,HK,2,72.4,1000,,
20180426,101013264,TTD VN,VN,1,58500,3000,,
20171117,632407,VED.UK,UK,1,7.7,5000,,
20180119,632407,HPJ,PJ,1,4.2,1000,,
20150119,20002894001,2828 HK,HK,1,114.8,600,,
20180808,632407,SILO.ID,ID,1,3010,15000,,
20150311,20002894001,5108 JP,JP,2,0,400,,
20180313,632407,SILO.ID,ID,1,8050,10000,,
20170505,632407,YTL.MY,MY,1,1.47,8500,,
20140604,20002894001,RRS AU,AU,1,0.021,530000,,
20170322,632407,5707.JP,JP,1,559,10000,,
20140108,20002894001,7203 JP,JP,1,6290,100,,
20150715,20002894001,9984 JP,JP,1,0,100,,
20170919,632407,LAC.CA,CA,1,1.69,50000,,
20150409,20002894001,1181 HK,HK,1,1.9,30000,,
20180809,632407,RIT.CA,CA,2,16.69,730,,
20170724,101013264,VKC VN,VN,2,7800,15000,,
20171121,101013264,CTD VN,VN,1,0,330,,
20171213,632407,BLOC.CA,CA,1,2.68,10000,,
20160727,101013264,HAX VN,VN,1,30000,6000,,
20180717,632407,GMLP,LP,2,14.79,500,,
20140512,20002894001,1321 JP,JP,1,14600,50,,
20140401,20002894001,27 HK,HK,2,72.5,1000,,
20150312,624892,BTG SP,SP,1,1.37,8900,,
20180412,632407,SILO.ID,ID,1,8375,20000,,
20170925,632407,LAC.CA,CA,1,1.45,13800,,
20180718,632407,SILO.ID,ID,1,3570,10000,,
20170216,101013264,PMC VN,VN,1,68456,2500,,
20140909,20002894001,3382 JP,JP,1,0,400,,
20140924,20002894001,SBUX US,US,1,74,200,,
20160330,101013264,VNS VN,VN,1,27000,2240,,
20170309,101013264,DAH VN,VN,1,7000,20000,,
20170206,101013264,TLG VN,VN,1,99606.1538,1300,,
20160822,101013264,VFG VN,VN,1,88500,1400,,
20180706,101013264,VCS VN,VN,1,82100,270,,
20160525,101013264,HAG VN,VN,1,8000,7700,,
20180110,101013264,JVC VN,VN,1,6140,5000,,
20141111,20002894001,AXP US,US,2,92.4,100,,
20180828,101013264,PTB VN,VN,1,61000,900,,
20140820,20002894001,2823 HK,HK,1,9.5,7600,,
2018830,632407,6728.JP,JP,1,4605,1000,,
20160203,101013264,BID VN,VN,1,16200,70000,,
20180322,632407,SEVN PM,PM,1,115.8267,21000,,
20161104,632407,5707.JP,JP,2,383,1000,,
20180807,632407,SILO.ID,ID,1,3070,30000,,
20171215,632407,SILO.ID,ID,1,10600,15000,,
20180105,101013264,DNP VN,VN,2,20000,10000,,
20170718,101013264,TNA VN,VN,2,45800,5000,,
20161117,101013264,KBC VN,VN,1,15650,20000,,
20140829,20002894001,EWY US,US,1,66.8,110,,
20141029,20002894001,493 HK,HK,1,1.22,48000,,
20150910,101013264,NCT VN,VN,1,118000,1370,,
20170323,101013264,VKC VN,VN,1,14000,10000,,
20150311,BR9224,MAY MK,MK,1,9.13,3200,,
20171121,101013264,ACV VN,VN,1,83000,900,,
20170922,101013264,MAS VN,VN,2,84200,1000,,
20170915,632407,VED.UK,UK,1,8.03,20000,,
20180206,632407,BTG.SG,SG,1,1.68,10000,,
20180223,632407,SILO.ID,ID,1,8700,9200,,
20170322,632407,5707.JP,JP,1,558,15000,,
20180426,632407,SILO.ID,ID,1,7800,15000,,
20180807,632407,SILO.ID,ID,1,3070,20000,,
20150106,101013264,VCF VN,VN,1,0,1700,,
20160728,101013264,SVC VN,VN,2,42000,4000,,
20180709,632407,SILO.ID,ID,1,4400,5000,,
20160922,624892,BTG.SG,SG,1,1.01,5700,,
20160830,101013264,LIX VN,VN,1,53500,310,,
20140903,20002894001,493 HK,HK,2,1.39,30000,,
20160622,101013264,LHC VN,VN,1,52500,1800,,
20160622,101013264,KHA VN,VN,1,32900,2950,,
20170920,101013264,VNM VN,VN,1,149000,5000,,
20151208,20002894001,8699 JP,JP,1,1250,1300,,
20141215,20002894001,3777 HK,HK,1,1.85,6000,,
20141219,20002894001,DAI GY,GY,2,69.5,80,,
20141201,20002894001,939 HK,HK,1,5.75,4000,,
20180404,632407,601012.CN,CN,1,33.3,600,,
20180807,632407,SILO.ID,ID,1,3070,30000,,
20160727,101013264,HAX VN,VN,1,29900,6000,,
20180821,101013264,DXG VN,VN,2,28000,15000,,
20180803,101013264,VSC VN,VN,2,39000,4000,,
20150506,20002894001,573 HK,HK,1,3.65,34000,,
20150408,20002894001,1181 HK,HK,1,1.88,50000,,
20170925,101013264,ACV VN,VN,1,64000,4300,,
20170522,101013264,GIL VN,VN,2,47500,2000,,
20151202,20002894001,8728 JP,JP,1,0,2000,,
20160212,20002894001,7169 JP,JP,2,1100,500,,
20160708,101013264,MAS VN,VN,1,153000,1500,,
20141031,632407,ADHI IJ,IJ,2,2760,10500,,
20170223,632407,LAC.CA,CA,1,1.2,92300,,
20161104,632407,5707.JP,JP,2,383,1000,,
20180410,632407,SILO.ID,ID,1,8325,10000,,
20140721,20002894001,WLL US,US,1,88.5,150,,
20150702,20002894001,573 HK,HK,1,3.38,5000,,
20180410,632407,SILO.ID,ID,1,8300,20000,,
20160930,101013264,DNP VN,VN,1,29300,6000,,
20150107,20002894001,4503 JP,JP,1,0,400,,
20180104,632407,SILO.ID,ID,1,9075,10000,,
20140729,20002894001,T US,US,2,36.3,340,,
20170419,101013264,LDG VN,VN,1,12200,19400,,
20180417,632407,SILO.ID,ID,1,8325,15000,,
20160225,20002894001,1910 HK,HK,1,0,2100,,
20180110,632407,VED.UK,UK,2,8.8,10000,,
20140403,20002894001,V US,US,1,215,50,,
20150914,20002894001,1181 HK,HK,1,1.62,5000,,
20140829,BR9224,MAY MK,MK,1,10.08,2400,,
20170113,632407,7261.JP,JP,1,1865,1600,,
20170425,632407,GEUN2.GY,GY,2,36.375,550,,
20140430,20002894001,992 HK,HK,2,8.96,7000,,
20161104,632407,5707.JP,JP,2,383,2000,,
20160622,101013264,PTB VN,VN,1,130000,3300,,
20170309,632407,LAC.CA,CA,1,0.96,158000,,
20140805,BR9224,IHH.MK,MK,2,4.74,5000,,
20170721,101013264,HAX VN,VN,1,36800,9000,,
20171121,101013264,VRE VN,VN,1,51000,1520,,
20160704,101013264,DHP VN,VN,1,11500,3200,,
20180315,632407,SILO.ID,ID,1,8200,6000,,
20171030,632407,7532.JP,JP,2,4700,300,,
20171117,632407,5707.JP,JP,2,6260,2000,,
20160816,101013264,HAX VN,VN,1,30900,10000,,
20171115,632407,LAC.CA,CA,1,10.5,7000,,
20170522,101013264,GIL VN,VN,2,47500,2000,,
20180807,632407,SILO.ID,ID,1,3070,40000,,
20160530,101013264,HMH VN,VN,1,15600,3500,,
20141113,632407,WTE SP,SP,2,0.01,133000,,
20180402,101013264,PTI VN,VN,1,22500,8000,,
20140120,624892,BTG SP,SP,1,0.915,12000,,
20180426,632407,SILO.ID,ID,1,7800,15000,,
20170516,632407,3473.JP,JP,1,78600,12,,
20180118,632407,MUA.AU,AU,2,0.6,11111,,
20170829,101013264,FLC VN,VN,2,8800,10000,,
20180829,632407,BSL.AU,AU,1,18,2000,,
20180509,632407,SILO.ID,ID,1,6375,10000,,
20160212,20002894001,7169 JP,JP,2,1101,900,,
20180807,632407,SILO.ID,ID,1,3070,40000,,
20171102,632407,ETP,TP,1,17.7,200,,
20171201,101013264,CAV VN,VN,1,52700,2600,,
20141219,20002894001,CMCSA US,US,2,56.5,142,,
20180105,101013264,DNP VN,VN,2,20000,25,,
20170829,101013264,HAX VN,VN,1,37900,10000,,
20180709,632407,SILO.ID,ID,1,4380,2000,,
20180314,632407,SILO.ID,ID,1,8075,10000,,
20171024,101013264,KSB VN,VN,2,45400,4000,,
20180309,101013264,VJC VN,VN,1,0,1000,,
20171004,101013264,VNM VN,VN,1,148200,130,,
20180206,632407,SILO.ID,ID,1,8700,10000,,
2018830,632407,BSL.AU,AU,1,17.6,4000,,
20161114,632407,VED.UK,UK,1,8.61,400,,
20170424,101013264,HT1 VN,VN,2,22300,2810,,
20160530,101013264,SVC VN,VN,1,36100,900,,
20160902,632407,TV.CA,CA,1,0.87,100000,,
20180807,632407,SILO.ID,ID,1,3070,15000,,
20150608,632407,1 HK,HK,1,113,500,,
20140822,20002894001,8078 HK,HK,2,0.2,120000,,
20180823,101013264,VJC VN,VN,1,151200,2000,,
20150226,101013264,MWG VN,VN,1,142000,2000,,
20180821,632407,SILO.ID,ID,1,3000,10000,,
20140317,20002894001,3918 HK,HK,2,8.58,6000,,
20161124,632407,8306.JP,JP,2,679,1800,,
20170207,624892,TWP.SG,SG,2,0.4078,14400,,
20170724,101013264,HAX VN,VN,1,34500,5000,,
20141009,20002894001,8306 JP,JP,1,604.5,2600,,
20150622,20002894001,INTC US,US,1,32.25,200,,
20140724,20002894001,T US,US,1,35.8,815,,
20180426,632407,SILO.ID,ID,1,7800,35000,,
20171102,632407,LAC.CA,CA,1,1.98,25200,,
20141127,20002894001,DAI GY,GY,2,66.3,80,,
20180104,632407,SILO.ID,ID,1,9050,10000,,
20140527,20002894001,1321 JP,JP,2,15110,50,,
20150430,20002894001,573 HK,HK,1,3.69,10000,,
20180207,632407,SILO.ID,ID,1,8900,10000,,
20171106,101013264,APC VN,VN,1,61300,2000,,
20140522,20002894001,27 HK,HK,2,62.6,1000,,
20140321,20002894001,66 HK,HK,2,27.8,2500,,
20170724,101013264,VKC VN,VN,2,7800,20000,,
20140317,632407,NXT.CN,CN,1,1.02,10000,,
20180327,632407,SILO.ID,ID,1,8200,15000,,
20170929,101013264,ACV VN,VN,1,70000,3000,,
20150119,20002894001,1186 HK,HK,1,9.04,6000,,
20151201,20002894001,357 HK,HK,2,10.04,21000,,
20160105,101013264,KBC VN,VN,1,12600,50000,,
20160829,101013264,KHA VN,VN,1,37800,4500,,
20180821,632407,SILO.ID,ID,1,3000,200,,
20171227,632407,SILO.ID,ID,1,9800,200,,
20150409,20002894001,1181 HK,HK,1,1.9,26000,,
20140530,20002894001,SCTY US,US,1,55,40,,
20180709,632407,SILO.ID,ID,1,4400,10000,,
20160329,101013264,SVC VN,VN,1,30000,10000,,
20160706,101013264,MAS VN,VN,1,153000,1400,,
20150326,101013264,NHS VN,VN,1,10900,2500,,
20150227,20002894001,573 HK,HK,1,3.4,8000,,
20140822,20002894001,1045 HK,HK,2,11.38,8000,,
20180615,101013264,SSI VN,VN,1,0,4800,,
20161013,101013264,SHN VN,VN,1,10400,20000,,
20170424,101013264,MAS VN,VN,2,90800,1800,,
20160216,101013264,NCT VN,VN,1,121000,1980,,
20150720,101013264,NCT VN,VN,1,110000,4000,,
20170829,101013264,HAX VN,VN,1,37800,10000,,
20170703,632407,CRT.SG,SG,2,1.185,9900,,
20170705,101013264,HAX VN,VN,1,47000,5000,,
20180105,101013264,DNP VN,VN,2,0,25,,
20180405,101013264,CII VN,VN,1,33400,550,,
20150212,20002894001,1181 HK,HK,1,1.6,4000,,
20180110,632407,VED.UK,UK,2,8.83,10000,,
20150914,624892,BREAD SP,SP,1,1.1561,18000,,
20180820,632407,SILO.ID,ID,1,2900,300,,
20180606,632407,WLCON PM,PM,2,11.9,30500,,
20180511,632407,3382.JP,JP,2,4800,400,,
20170412,101013264,MAS VN,VN,2,95000,1000,,
20170714,101013264,PMC VN,VN,1,89000,2000,,
20150429,20002894001,573 HK,HK,1,3.61,20000,,
20180829,632407,BSL.AU,AU,1,18.05,1785,,
20170907,632407,VED.UK,UK,2,8.8,10000,,
